local_law_id,name,address,type_of_law_enforcement,city_id
1001601,EAST PALO ALTO POLICE DEPARTMENT,141 DEMETER STREET,LOCAL POLICE DEPARTMENT,1840020301
1002284,SOUTH SAN FRANCISCO POLICE DEPARTMENT,"33 ARROYO DRIVE, SUITE C",LOCAL POLICE DEPARTMENT,1840021552
1002283,SOUTH PASADENA POLICE DEPARTMENT,1422 MISSION STREET,LOCAL POLICE DEPARTMENT,1840021871
1001482,BREA POLICE DEPARTMENT,1 CIVIC CENTER CIRCLE,LOCAL POLICE DEPARTMENT,1840019323
1001493,BURLINGAME POLICE DEPARTMENT,1111 TROUSDALE DRIVE,LOCAL POLICE DEPARTMENT,1840018925
1001793,LOMPOC POLICE DEPARTMENT,107 CIVIC CENTER PLAZA,LOCAL POLICE DEPARTMENT,1840020468
1001789,LIVERMORE POLICE DEPARTMENT,1110 SOUTH LIVERMORE AVENUE,LOCAL POLICE DEPARTMENT,1840020294
1002177,SAN GABRIEL POLICE DEPARTMENT,625 SOUTH DEL MAR AVENUE,LOCAL POLICE DEPARTMENT,1840021862
1001697,HAWTHORNE POLICE DEPARTMENT,12501 SOUTH HAWTHORNE BOULEVARD,LOCAL POLICE DEPARTMENT,1840020486
1001935,NOVATO POLICE DEPARTMENT,909 MACHIN AVENUE,LOCAL POLICE DEPARTMENT,1840020260
1002325,TIBURON POLICE DEPARTMENT,1155 TIBURON BOULEVARD,LOCAL POLICE DEPARTMENT,1840022521
1001453,BALDWIN PARK POLICE DEPARTMENT,14403 EAST PACIFIC AVENUE,LOCAL POLICE DEPARTMENT,1840019227
1001723,IMPERIAL POLICE DEPARTMENT,424 SOUTH IMPERIAL AVENUE,LOCAL POLICE DEPARTMENT,1840019381
1001554,CORCORAN POLICE DEPARTMENT,1031 CHITTENDEN AVENUE,LOCAL POLICE DEPARTMENT,1840019056
1001713,HOLTVILLE POLICE DEPARTMENT,585 FERN AVENUE,LOCAL POLICE DEPARTMENT,1840020631
1004920,SAC COUNTY SHERIFFS DEPARTMENT / SAC COUNTY JAIL,100 NORTHWEST STATE STREET,SHERIFF'S OFFICE,1840009113
1004578,ALBIA POLICE DEPARTMENT,103 2ND AVENUE WEST,LOCAL POLICE DEPARTMENT,1840007152
1004861,NEWELL POLICE DEPARTMENT,207 EAST 2ND STREET,LOCAL POLICE DEPARTMENT,1840008023
1004786,KELLOGG POLICE DEPARTMENT,313 HIGH STREET,LOCAL POLICE DEPARTMENT,1840008175
1004662,WAYNE COUNTY SHERIFFS OFFICE / WAYNE COUNTY JAIL,207 NORTH LAFAYETTE STREET,SHERIFF'S OFFICE,1840007200
1004769,IDA COUNTY SHERIFFS OFFICE / IDA COUNTY JAIL,401 MOOREHEAD STREET,SHERIFF'S OFFICE,1840006957
1004935,KEOKUK COUNTY SHERIFFS DEPARTMENT / KEOKUK COUNTY JAIL,204 SOUTH STONE STREET,SHERIFF'S OFFICE,1840009284
1001226,FLAGSTAFF POLICE DEPARTMENT,911 EAST SAWMILL ROAD,LOCAL POLICE DEPARTMENT,1840020335
1001367,DINE COLLEGE CAMPUS POLICE,1 DINE COLLEGE CIRCLE DRIVE,SPECIAL JURISDICTION,1840136753
1001209,CLIFTON POLICE DEPARTMENT,200 NORTH CORONADO BOULEVARD,LOCAL POLICE DEPARTMENT,1840022949
1001075,LOGAN COUNTY SHERIFFS OFFICE,508 WEST GROBER STREET,SHERIFF'S OFFICE,1840014586
1001167,WARREN POLICE DEPARTMENT,200 ALABAMA STREET,LOCAL POLICE DEPARTMENT,1840015696
1003481,BAY COUNTY SHERIFFS OFFICE,3421 STATE HIGHWAY 77,SHERIFF'S OFFICE,1840015034
1003082,MANATEE COUNTY SHERIFFS OFFICE,600 301 BOULEVARD WEST,SHERIFF'S OFFICE,1840014173
1003199,SAINT LUCIE COUNTY SHERIFFS OFFICE,4700 WEST MIDWAY ROAD,SHERIFF'S OFFICE,1840014178
1003505,UNIVERSITY OF WEST FLORIDA POLICE DEPARTMENT,"11000 UNIVERSITY PARKWAY, BUILDING 19",SPECIAL JURISDICTION,1840015005
1003073,HOLMES COUNTY SHERIFFS OFFICE,211 NORTH OKLAHOMA STREET,SHERIFF'S OFFICE,1840013924
1003124,DIXIE COUNTY SHERIFFS OFFICE,"214 STATE HIGHWAY 351 NORTHEAST, SUITE L",SHERIFF'S OFFICE,1840017280
1003551,SEMINOLE COUNTY SHERIFFS DEPARTMENT AND DEPARTMENT OF PUBLIC SAFETY,100 NORTH BUSH BOULEVARD,SHERIFF'S OFFICE,1840015958
1003526,CHARLOTTE COUNTY SHERIFFS DEPARTMENT,7474 UTILITIES ROAD,SHERIFF'S OFFICE,1840015122
1003638,BREVARD SHERIFFS OFFICE NORTH PRECINCT,700 SOUTH PARK AVENUE,SHERIFF'S OFFICE,1840015962
1003067,CALHOUN COUNTY SHERIFFS DEPARTMENT / CALHOUN COUNTY JAIL,20776 CENTRAL AVENUE,SHERIFF'S OFFICE,1840013952
1003085,LEVY COUNTY SHERIFFS DEPARTMENT / LEVY COUNTY JAIL,9150 NORTHEAST 80TH AVENUE,SHERIFF'S OFFICE,1840015948
1003447,OKEECHOBEE COUNTY SHERIFFS DEPARTMENT / OKEECHOBEE COUNTY JAIL,504 NORTHWEST 4TH STREET,SHERIFF'S OFFICE,1840015118
1003261,HAMILTON COUNTY SHERIFFS OFFICE,"207 1ST STREET NORTHEAST, ROOM 114",SHERIFF'S OFFICE,1840015028
1001436,PLACER COUNTY JAIL,2775 RICHARDSON DRIVE,LOCAL POLICE DEPARTMENT,1840010231
1003217,CLAY COUNTY SHERIFFS OFFICE / CLAY COUNTY JAIL,901 NORTH ORANGE AVENUE,SHERIFF'S OFFICE,1840013999
1002643,LAKEWOOD MARSHAL'S OFFICE,445 SOUTH ALLISON PARKWAY,CONSTABLE/MARSHAL,1840020198
1001626,FAIRFAX POLICE DEPARTMENT,144 BOLINAS ROAD,LOCAL POLICE DEPARTMENT,1840021516
1002312,BEAR VALLEY POLICE DEPARTMENT,25101 BEAR VALLEY ROAD,LOCAL POLICE DEPARTMENT,1840021737
1001720,HUNTINGTON PARK POLICE DEPARTMENT,6542 MILES AVENUE,LOCAL POLICE DEPARTMENT,1840019235
1002221,SANGER POLICE DEPARTMENT,1700 7TH STREET,LOCAL POLICE DEPARTMENT,1840021566
1002045,REEDLEY POLICE DEPARTMENT,843 G STREET,LOCAL POLICE DEPARTMENT,1840020320
1002343,UKIAH POLICE DEPARTMENT,300 SEMINARY AVENUE,LOCAL POLICE DEPARTMENT,1840021420
1002402,WOODLAKE POLICE DEPARTMENT,350 NORTH VALENCIA BOULEVARD,LOCAL POLICE DEPARTMENT,1840021640
1001590,DINUBA POLICE DEPARTMENT,680 SOUTH ALTA AVENUE,LOCAL POLICE DEPARTMENT,1840019044
1002338,TURLOCK POLICE DEPARTMENT,244 NORTH BROADWAY STREET,LOCAL POLICE DEPARTMENT,1840021533
1002008,PLEASANTON POLICE DEPARTMENT,4833 BERNAL AVENUE,LOCAL POLICE DEPARTMENT,1840020298
1001981,PASADENA POLICE DEPARTMENT,207 NORTH GARFIELD AVENUE,LOCAL POLICE DEPARTMENT,1840020505
1001883,MONTEBELLO POLICE DEPARTMENT,1600 WEST BEVERLY BOULEVARD,LOCAL POLICE DEPARTMENT,1840020499
1004974,LOUISA COUNTY SHERIFFS OFFICE / LOUISA COUNTY JAIL,503 FRANKLIN STREET,SHERIFF'S OFFICE,1840010282
1004829,CERRO GORDO COUNTY SHERIFF / CERRO COUNTY JAIL,17262 LARK AVENUE,SHERIFF'S OFFICE,1840000380
1002698,OURAY COUNTY SHERIFFS OFFICE,541 4TH STREET,SHERIFF'S OFFICE,1840020258
1002750,JACKSON COUNTY SHERIFFS OFFICE,396 LAFEVER STREET,SHERIFF'S OFFICE,1840022404
1002629,SEDGWICK COUNTY SHERIFFS OFFICE,315 CEDAR STREET,SHERIFF'S OFFICE,1840021381
1002710,PUEBLO COUNTY SHERIFFS OFFICE,909 COURT STREET,SHERIFF'S OFFICE,1840020255
1008704,SOMERVILLE POLICE DEPARTMENT,220 WASHINGTON STREET,LOCAL POLICE DEPARTMENT,1840003123
1008792,WESTFIELD POLICE DEPARTMENT - HEADQUARTERS,15 WASHINGTON STREET,LOCAL POLICE DEPARTMENT,1840000463
1008618,NORTH ADAMS POLICE DEPARTMENT,11 SUMMER STREET,LOCAL POLICE DEPARTMENT,1840000423
1008671,REVERE POLICE DEPARTMENT,400 REVERE BEACH PKWY,LOCAL POLICE DEPARTMENT,1840000457
1004640,FLOYD COUNTY SHERIFF / FLOYD COUNTY JAIL,101 SOUTH MAIN STREET,SHERIFF'S OFFICE,1840000382
1004358,ROSWELL MARSHAL'S OFFICE,38 HILL ST,CONSTABLE/MARSHAL,1840014741
1001749,MARIN COMMUNITY COLLEGE POLICE DEPARTMENT - KENTFIELD CAMPUS,"835 COLLEGE AVENUE, BUILDING TB-1",SPECIAL JURISDICTION,1840017603
1002011,CALIFORNIA STATE POLYTECHNIC UNIVERSITY - POMONA POLICE,"3801 WEST TEMPLE AVENUE, BUILDING 91",SPECIAL JURISDICTION,1840020507
1001960,BUTTE COMMUNITY COLLEGE POLICE,3536 BUTTE CAMPUS DRIVE,SPECIAL JURISDICTION,1840020182
1002175,UNIVERSITY OF CALIFORNIA SAN FRANCISCO POLICE,"1855 FOLSOM STREET, ROOM 145",SPECIAL JURISDICTION,1840021543
1002149,SAN DIEGO STATE UNIVERSITY DEPARTMENT OF PUBLIS SAFETY,"5500 CAMPANILE DRIVE, STUDENT SERVICES EAST BUILDING",SPECIAL JURISDICTION,1840021990
1002229,SANTA BARBARA AIRPORT PATROL,601 FIRESTONE ROAD,SPECIAL JURISDICTION,1840021829
1002019,PLUMAS COUNTY SHERIFFS DEPARTMENT,1400 EAST MAIN STREET,SHERIFF'S OFFICE,1840018768
1002122,SAN BERNARDINO COUNTY SHERIFFS DEPARTMENT,655 EAST 3RD STREET,SHERIFF'S OFFICE,1840021728
1001795,CALIFORNIA STATE UNIVERSITY - LONG BEACH UNIVERSITY POLICE DEPARTMENT,1250 BELLFLOWER BOULEVARD,SPECIAL JURISDICTION,1840020490
1002290,STOCKTON AIRPORT METROPOLITAN POLICE AND FIRE DEPARTMENT,7422 SOUTH LINDBERGH STREET,SPECIAL JURISDICTION,1840021517
1002255,SONOMA COUNTY SHERIFFS DEPARTMENT HEADQUARTERS,2796 VENTURA AVENUE,SHERIFF'S OFFICE,1840021488
1001801,FOOTHILL - DE ANZA COMMUNITY COLLEGE DISTRICT POLICE DEPARTMENT - FOOTHILL CAMPUS MAIN STATION,"12345 EL MONTE ROAD, CARRIAGE HOUSE, BUILDING D 100",SPECIAL JURISDICTION,1840021574
1002193,SANTA CLARA COUNTY SHERIFFS DEPARTMENT - HEADQUARTERS,55 WEST YOUNGER AVENUE,SHERIFF'S OFFICE,1840021570
1002238,SANTA CRUZ COUNTY SHERIFFS DEPARTMENT,"701 OCEAN STREET, ROOM 340",SHERIFF'S OFFICE,1840021579
1002242,ALLAN HANCOCK COLLEGE POLICE DEPARTMENT,800 SOUTH COLLEGE DRIVE,SPECIAL JURISDICTION,1840021830
1002279,TUOLUMNE COUNTY SHERIFFS OFFICE,28 NORTH LOWER SUNSET DRIVE,SHERIFF'S OFFICE,1840021511
1001863,MERCED COUNTY SHERIFFS DEPARTMENT / MERCED COUNTY JAIL,700 WEST 22ND STREET,SHERIFF'S OFFICE,1840020313
1002215,MARIN COUNTY SHERIFF OFFICE / MARIN COUNTY JAIL,"3501 CIVIC CENTER DRIVE, ROOM 147",SHERIFF'S OFFICE,1840021513
1003778,AUGUSTA STATE UNIVERSITY DEPT OF PUBLIC SAFETY,2500 WALTON WAY,SPECIAL JURISDICTION,1840029462
1008469,MASSACHUSETTS STATE POLICE - HEADQUARTERS,470 WORCESTER ROAD,PRIMARY STATE AGENCY,1840003131
1004908,REMSEN POLICE DEPARTMENT,109 FULTON STREET,LOCAL POLICE DEPARTMENT,1840009072
1004768,HUXLEY POLICE DEPARTMENT,515 NORTH MAIN AVENUE,LOCAL POLICE DEPARTMENT,1840007020
1004972,WALCOTT POLICE DEPARTMENT,212 WEST LINCOLN STREET,LOCAL POLICE DEPARTMENT,1840010193
1002113,CALAVERAS COUNTY SHERIFFS OFFICE,891 MOUNTAIN RANCH ROAD,SHERIFF'S OFFICE,1840018868
1002391,WILLIAMS POLICE DEPARTMENT,700 NORTH STREET,LOCAL POLICE DEPARTMENT,1840021460
1002231,SANTA BARBARA COUNTY SHERIFFS DEPARTMENT,4434 CALLE REAL,SHERIFF'S OFFICE,1840021829
1001646,FORTUNA POLICE DEPARTMENT,621 11TH STREET,LOCAL POLICE DEPARTMENT,1840009553
1001585,DEL REY OAKS POLICE DEPARTMENT,650 CANYON DEL REY ROAD,LOCAL POLICE DEPARTMENT,1840019024
1001968,PACIFICA POLICE DEPARTMENT,2075 COAST HIGHWAY,LOCAL POLICE DEPARTMENT,1840020307
1002220,SAND CITY POLICE DEPARTMENT,1 SYLVAN PARK,LOCAL POLICE DEPARTMENT,1840021633
1002207,SAN MARINO POLICE DEPARTMENT,2200 HUNTINGTON DRIVE,LOCAL POLICE DEPARTMENT,1840021863
1001616,EMERYVILLE POLICE DEPARTMENT,2449 POWELL STREET,LOCAL POLICE DEPARTMENT,1840020291
1002334,TRUCKEE POLICE DEPARTMENT,10183 TRUCKEE-TAHOE AIRPORT ROAD,LOCAL POLICE DEPARTMENT,1840022462
1004459,STEPHENS COUNTY MARSHAL'S OFFICE,"205 N. ALEXANDER ST., ROOM 107",CONSTABLE/MARSHAL,1840015551
1008655,BERKSHIRE COUNTY SHERIFF / BERKSHIRE COUNTY JAIL,467 CHESHIRE ROAD,SHERIFF'S OFFICE,1840003116
1004859,NEW LONDON CITY POLICE DEPARTMENT,509 EAST MAIN STREET,LOCAL POLICE DEPARTMENT,1840008266
1004724,JEFFERSON COUNTY LAW CENTER,1200 WEST GRIMES AVENUE,SHERIFF'S OFFICE,1840000887
1004941,SLOAN CITY POLICE DEPARTMENT,428 EVANS,LOCAL POLICE DEPARTMENT,1840009106
1004889,PARKERSBURG POLICE DEPARTMENT,608 STATE HIGHWAY 57,LOCAL POLICE DEPARTMENT,1840009088
1004977,WASHINGTON POLICE DEPARTMENT,215 EAST WASHINGTON STREET,LOCAL POLICE DEPARTMENT,1840010255
1004644,CLARENCE POLICE DEPARTMENT,411 LOMBARD STREET,LOCAL POLICE DEPARTMENT,1840007047
1004594,ARNOLDS PARK CITY POLICE DEPARTMENT,156 NORTH UNITED STATES HIGHWAY 71,LOCAL POLICE DEPARTMENT,1840006849
1004661,CORYDON TOWN POLICE DEPARTMENT,205 SOUTH EAST STREET,LOCAL POLICE DEPARTMENT,1840007200
1004621,CAMANCHE POLICE DEPARTMENT,819 SOUTH WASHINGTON BOULEVARD,LOCAL POLICE DEPARTMENT,1840007039
1004575,DALLAS COUNTY JAIL / DALLAS COUNTY SHERIFFS OFFICE,201 NORTH NILE KINNICK DRIVE,SHERIFF'S OFFICE,1840007053
1004865,NORTH LIBERTY POLICE DEPARTMENT,25 WEST CHERRY STREET,LOCAL POLICE DEPARTMENT,1840008179
1004892,PERRY POLICE DEPARTMENT,908 WILLIS AVENUE,LOCAL POLICE DEPARTMENT,1840009211
1004943,IOWA STATE HIGHWAY PATROL DISTRICT 6 - SPENCER,503 WEST 44TH STREET,PRIMARY STATE AGENCY,1840000381
1004863,NEWTON POLICE DEPARTMENT,101 WEST 4TH STREET SOUTH,LOCAL POLICE DEPARTMENT,1840008171
1004813,MADRID POLICE DEPARTMENT,304 SOUTH WATER STREET,LOCAL POLICE DEPARTMENT,1840009168
1004979,EVANSDALE POLICE DEPARTMENT,911 EVANS ROAD,LOCAL POLICE DEPARTMENT,1840000440
1004815,MANCHESTER POLICE DEPARTMENT,208 EAST MAIN STREET,LOCAL POLICE DEPARTMENT,1840009099
1004778,IOWA FALLS POLICE DEPARTMENT,321 STEVENS STREET,LOCAL POLICE DEPARTMENT,1840008079
1005001,WINFIELD POLICE DEPARTMENT,115 NORTH LOCUST STREET,LOCAL POLICE DEPARTMENT,1840010315
1004774,IOWA CITY POLICE DEPARTMENT,410 EAST WASHINGTON STREET,LOCAL POLICE DEPARTMENT,1840000532
1004899,POSTVILLE POLICE DEPARTMENT OFFICE,147 NORTH LAWLER STREET,LOCAL POLICE DEPARTMENT,1840009039
1004736,GARNAVILLO POLICE DEPARTMENT,106 EAST CHESTNUT STREET,LOCAL POLICE DEPARTMENT,1840008013
1004991,WEST BURLINGTON POLICE DEPARTMENT,122 BROADWAY STREET,LOCAL POLICE DEPARTMENT,1840010323
1004837,MISSOURI VALLEY POLICE DEPARTMENT,223 EAST ERIE STREET,LOCAL POLICE DEPARTMENT,1840008151
1004841,MONTICELLO POLICE DEPARTMENT,200 EAST 1ST STREET,LOCAL POLICE DEPARTMENT,1840008107
1004942,CLAY COUNTY SHERIFFS DEPARTMENT,3121 WEST 4TH STREET,SHERIFF'S OFFICE,1840000381
1004800,LAURENS POLICE DEPARTMENT,107 STATE HIGHWAY 10,LOCAL POLICE DEPARTMENT,1840008030
1004797,LAKE VIEW POLICE DEPARTMENT,305 MAIN STREET,LOCAL POLICE DEPARTMENT,1840008070
1004962,TAMA COUNTY SHERIFFS OFFICE,100 NORTH MAIN STREET,SHERIFF'S OFFICE,1840010127
1004630,UNIVERSITY OF NORTHERN IOWA PUBLIC SAFETY - POLICE DIVISION,106 TOWERS CENTER,SPECIAL JURISDICTION,1840006946
1004938,SIOUX CITY POLICE DEPARTMENT,601 DOUGLAS STREET,LOCAL POLICE DEPARTMENT,1840000447
1004772,INDIANOLA POLICE DEPARTMENT,110 NORTH 1ST STREET,LOCAL POLICE DEPARTMENT,1840000648
1004684,DES MOINES POLICE DEPARTMENT,25 EAST 1ST STREET,LOCAL POLICE DEPARTMENT,1840007069
1004926,SEYMOUR POLICE DEPARTMENT,109 NORTH 5TH STREET,LOCAL POLICE DEPARTMENT,1840009395
1004715,EMMETSBURG POLICE DEPARTMENT,1907 11TH STREET,LOCAL POLICE DEPARTMENT,1840007990
1004803,LE MARS POLICE DEPARTMENT,22 2ND STREET NORTHEAST,LOCAL POLICE DEPARTMENT,1840008022
1004712,ELDRIDGE POLICE DEPARTMENT,305 NORTH 3RD STREET,LOCAL POLICE DEPARTMENT,1840008182
1004993,WEST LIBERTY POLICE DEPARTMENT,409 NORTH CALHOUN STREET,LOCAL POLICE DEPARTMENT,1840010236
1004741,GLENWOOD POLICE DEPARTMENT,3 NORTH VINE STREET,LOCAL POLICE DEPARTMENT,1840008273
1004976,WASHINGTON COUNTY SHERIFFS OFFICE,221 WEST 2ND STREET,SHERIFF'S OFFICE,1840010255
1004784,JOHNSTON POLICE DEPARTMENT,6221 MERLE HAY ROAD,LOCAL POLICE DEPARTMENT,1840008170
1004611,BLUE GRASS POLICE DEPARTMENT,202 VALLEY DRIVE,LOCAL POLICE DEPARTMENT,1840007080
1003226,HAMPTON POLICE DEPARTMENT,5784 NAVARRE AVENUE,LOCAL POLICE DEPARTMENT,1840014006
1003392,MIAMI GARDENS POLICE DEPARTMENT,18611 NW 27TH AVE,LOCAL POLICE DEPARTMENT,1840015151
1002425,CONEJOS COUNTY SHERIFFS OFFICE / CONEJOS COUNTY JAIL,14044 COUNTY ROAD G.5,SHERIFF'S OFFICE,1840021576
1002679,MONTE VISTA POLICE DEPARTMENT,720 FIRST AVENUE,LOCAL POLICE DEPARTMENT,1840020299
1002502,CORTEZ POLICE DEPARTMENT,608 NORTH PARK STREET,LOCAL POLICE DEPARTMENT,1840018928
1008272,TANGIPAHOA POLICE DEPARTMENT,12616 JACKSON STREET,LOCAL POLICE DEPARTMENT,1840018209
1008200,PORT BARRE POLICE DEPARTMENT,498 SAIZAN AVENUE,LOCAL POLICE DEPARTMENT,1840017176
1007994,SAINT MARY PARISH SHERIFFS OFFICE,"500 MAIN STREET, 4TH FLOOR",SHERIFF'S OFFICE,1840014019
1007871,RAPIDES PARISH SHERIFFS OFFICE / RAPIDES PARISH JAIL,"701 MURRAY STREET, PO BOX 1510",SHERIFF'S OFFICE,1840013873
1008264,SULPHUR POLICE DEPARTMENT,500 NORTH HUNTINGTON STREET,LOCAL POLICE DEPARTMENT,1840015927
1008168,NOBLE POLICE DEPARTMENT,"462 MORNING GLORY LN, PO BOX 186",LOCAL POLICE DEPARTMENT,1840018160
1002099,SACRAMENTO POLICE DEPARTMENT - HEADQUARTERS,"5770 FREEPORT BOULEVARD, SUITE 100",LOCAL POLICE DEPARTMENT,1840021491
1001915,NATIONAL CITY POLICE DEPARTMENT,1200 NATIONAL CITY BOULEVARD,LOCAL POLICE DEPARTMENT,1840020622
1001591,DIXON POLICE DEPARTMENT,201 WEST A STREET,LOCAL POLICE DEPARTMENT,1840018859
1001469,BENICIA POLICE DEPARTMENT,200 EAST L STREET,LOCAL POLICE DEPARTMENT,1840018858
1002070,ROSEVILLE POLICE DEPARTMENT,1051 JUNCTION BOULEVARD,LOCAL POLICE DEPARTMENT,1840020233
1001954,ONTARIO POLICE DEPARTMENT,2500 SOUTH ARCHIBALD AVENUE,LOCAL POLICE DEPARTMENT,1840020410
1001530,CITY OF CITRUS HEIGHTS POLICE DEPARTMENT,6315 FOUNTAIN SQUARE DRIVE,LOCAL POLICE DEPARTMENT,1840018845
1002251,SANTA PAULA POLICE DEPARTMENT,214 SOUTH 10TH STREET,LOCAL POLICE DEPARTMENT,1840021842
1002339,TUSTIN POLICE DEPARTMENT,300 CENTENNIAL WAY,LOCAL POLICE DEPARTMENT,1840021967
1001988,PETALUMA POLICE DEPARTMENT,969 PETALUMA BOULEVARD NORTH,LOCAL POLICE DEPARTMENT,1840020244
1001456,BANNING POLICE DEPARTMENT,321 WEST RAMSEY STREET,LOCAL POLICE DEPARTMENT,1840019297
1001414,ALTURAS CITY POLICE DEPARTMENT,200 WEST NORTH STREET,LOCAL POLICE DEPARTMENT,1840018708
1001420,ANDERSON POLICE DEPARTMENT,2220 NORTH STREET,LOCAL POLICE DEPARTMENT,1840018733
1001622,EUREKA POLICE DEPARTMENT,604 C STREET,LOCAL POLICE DEPARTMENT,1840009558
1002371,WALNUT CREEK POLICE DEPARTMENT,1666 NORTH MAIN STREET,LOCAL POLICE DEPARTMENT,1840021531
1001611,EL CERRITO POLICE DEPARTMENT,10900 SAN PABLO AVENUE,LOCAL POLICE DEPARTMENT,1840020275
1002331,TRINIDAD POLICE DEPARTMENT,463 TRINITY STREET,LOCAL POLICE DEPARTMENT,1840010444
1001612,EL MONTE POLICE DEPARTMENT,11333 VALLEY BOULEVARD,LOCAL POLICE DEPARTMENT,1840020480
1001409,ALHAMBRA POLICE DEPARTMENT,211 SOUTH FIRST STREET,LOCAL POLICE DEPARTMENT,1840019222
1001567,COVINA POLICE DEPARTMENT,444 NORTH CITRUS AVENUE,LOCAL POLICE DEPARTMENT,1840019241
1004645,CLARINDA POLICE DEPARTMENT,200 SOUTH 15TH STREET,LOCAL POLICE DEPARTMENT,1840007180
1004967,URBANDALE POLICE DEPARTMENT,3740 86TH STREET,LOCAL POLICE DEPARTMENT,1840010184
1004875,ONAWA POLICE DEPARTMENT,909 7TH STREET,LOCAL POLICE DEPARTMENT,1840000489
1004931,SHENANDOAH POLICE DEPARTMENT,400 WEST SHERIDAN AVENUE,LOCAL POLICE DEPARTMENT,1840009387
1004820,MAPLETON POLICE DEPARTMENT,513 MAIN STREET,LOCAL POLICE DEPARTMENT,1840009154
1004625,CARTER LAKE POLICE DEPARTMENT,950 EAST LOCUST STREET,LOCAL POLICE DEPARTMENT,1840007120
1004913,ROCK VALLEY POLICE DEPARTMENT,1302 MAIN STREET,LOCAL POLICE DEPARTMENT,1840009045
1004949,STATE CENTER POLICE DEPARTMENT,118 EAST MAIN STREET,LOCAL POLICE DEPARTMENT,1840009158
1004930,SHELLSBURG POLICE DEPARTMENT,108 MAIN STREET NE,LOCAL POLICE DEPARTMENT,1840000469
1004657,COON RAPIDS POLICE DEPARTMENT,123 3RD AVE,LOCAL POLICE DEPARTMENT,1840006999
1004709,ELDON POLICE DEPARTMENT,421 W ELM ST,LOCAL POLICE DEPARTMENT,1840008268
1004009,GILMER COUNTY SHERIFF,1 BROAD STREET,SHERIFF'S OFFICE,1840013575
1001228,FLORENCE POLICE DEPARTMENT,425 NORTH PINAL STREET,LOCAL POLICE DEPARTMENT,1840021999
1001204,CHANDLER POLICE DEPARTMENT HEADQUARTERS,250 EAST CHICAGO STREET,LOCAL POLICE DEPARTMENT,1840019309
1001033,BAXTER COUNTY CONSTABLE - DISTRICT 2,474CR. 1175,CONSTABLE/MARSHAL,1840014452
1003040,ALACHUA POLICE DEPARTMENT,15000 NORTHWEST 142ND TERRACE,LOCAL POLICE DEPARTMENT,1840014020
1003427,BISCAYNE PARK POLICE DEPARTMENT,640 NORTHEAST 114TH STREET,LOCAL POLICE DEPARTMENT,1840015154
1003228,HAWTHORNE POLICE DEPARTMENT,6700 SOUTHEAST 221ST STREET,LOCAL POLICE DEPARTMENT,1840015059
1002556,EMPIRE POLICE DEPARTMENT,18 EAST PARK AVENUE,LOCAL POLICE DEPARTMENT,1840021432
1002600,GRANBY POLICE DEPARTMENT,JASPER AVENUE,LOCAL POLICE DEPARTMENT,1840021407
1002701,PAGOSA SPRINGS POLICE DEPARTMENT,551 HOT SPRINGS BOULEVARD,LOCAL POLICE DEPARTMENT,1840022565
1002759,FRASER-WINTER PARK POLICE DEPARTMENT,78336 UNITED STATES HIGHWAY 40,LOCAL POLICE DEPARTMENT,1840022421
1002723,SAN LUIS POLICE DEPARTMENT,408 MAIN STREET,LOCAL POLICE DEPARTMENT,1840022549
1004310,PINE LAKE POLICE DEPARTMENT,459 PINE DRIVE,LOCAL POLICE DEPARTMENT,1840014779
1004461,TOCCOA POLICE DEPARTMENT,203 NORTH ALEXANDER STREET,LOCAL POLICE DEPARTMENT,1840015551
1003792,BALL GROUND POLICE DEPARTMENT,215 VALLEY STREET,LOCAL POLICE DEPARTMENT,1840013623
1004189,LUTHERSVILLE POLICE DEPARTMENT,104 WORTHAM ROAD,LOCAL POLICE DEPARTMENT,1840015748
1003819,BREMEN POLICE DEPARTMENT,516 TALLAPOOSA STREET,LOCAL POLICE DEPARTMENT,1840013715
1004180,LOOKOUT MOUNTAIN POLICE DEPARTMENT,1214 LULA LAKE ROAD,LOCAL POLICE DEPARTMENT,1840015530
1004425,SWAINSBORO POLICE DEPARTMENT,212 NORTH MAIN STREET,LOCAL POLICE DEPARTMENT,1840015787
1004172,LINCOLNTON POLICE DEPARTMENT,148 WARD AVENUE,LOCAL POLICE DEPARTMENT,1840015643
1004329,REIDSVILLE POLICE DEPARTMENT,117 TATTNALL STREET,LOCAL POLICE DEPARTMENT,1840014908
1003994,EAST DUBLIN POLICE DEPARTMENT,"119 SOPERTON AVENUE, CITY HALL",LOCAL POLICE DEPARTMENT,1840013815
1004311,PINE MOUNTAIN POLICE DEPARTMENT,250 NORTH MCDOUGAL AVENUE,LOCAL POLICE DEPARTMENT,1840016961
1004452,THUNDERBOLT POLICE DEPARTMENT,2821 RIVER DRIVE,LOCAL POLICE DEPARTMENT,1840017030
1004907,REDFIELD POLICE DEPARTMENT,808 1ST STREET,LOCAL POLICE DEPARTMENT,1840009212
1004522,WRIGHTSVILLE POLICE DEPARTMENT,2566 E ELM STREET,LOCAL POLICE DEPARTMENT,1840015789
1004289,OCILLA POLICE DEPARTMENT,400 SOUTH IRWIN AVENUE,LOCAL POLICE DEPARTMENT,1840014950
1004471,TYBEE ISLAND POLICE DEPARTMENT,78 VAN HORNE STREET,LOCAL POLICE DEPARTMENT,1840015831
