fire_emergency_id,name,address,city_id
1967285,Lake Norrell Volunteer Fire Department Station 1,5211 Lake Norrell Road,1840013537
1967290,Snohomish County Fire District 23,31907 Mountain Loop Highway,1840019787
1967296,Vian Fire Department,104 Cherokee Street,1840022740
1967310,Jonesboro Fire Department Station 1,3215 East Johnson Avenue,1840014507
1967328,Stillwater Fire Department Station 3,416 East Lakeview Road,1840021675
1967334,Kountze Volunteer Fire Department Station 2,Farm to Market Road 1003,1840020897
1967362,Joes Volunteer Fire Department,6423 US Highway 36,1840024319
1967367,Point Pleasant Volunteer Fire Department,400 Viand Street,1840006048
1967369,Lincoln Rural Fire Protection District Station 2 Bravo Fire Department,105 East Pine Street,1840010476
1967370,Sheldon Volunteer Fire Company,996 Centerline Road,1840025472
1967378,Bertha Fire Department,216 2nd Avenue Northwest,1840006666
1967392,Brushy Mountain Volunteer Fire Department Sequoyah County,474871 East 1010 Road,1840021749
1967393,Ball Volunteer Fire Department Station 2,5505 Pinebrook Trace,1840015868
1967404,Douglas County Fire Department Station 6,2230 Riverside Parkway,1840014804
1967420,Haleyville Volunteer Fire Department Station 2,County Road 51,1840013644
1967426,Kern County Fire Department Station 12 - Tehachapi,800 South Curry Street,1840021737
1967438,Blountsville - Stoney Creek Township Volunteer Fire Department,8896 North Wilbur Wright Road,1840009478
1967441,Denver Fire Department Station 10,3200 Steele Street,1840018789
1967451,Lake Wenatchee Fire and Rescue Station 94 Ponderosa,2100 Cayuse Street,1840019778
1967469,Cotter Fire Department,950 Harding Boulevard,1840014451
1967481,Rocky Ridge Fire Department,2911 Metropolitan Way,1840006507
1967484,Calhoun Rural Fire Association,103 East Main Street,1840007491
1967494,Bath Fire Department,2043 2nd Avenue,1840023892
1967498,Okanogan County Fire District 8,400 Timentwa Road,1840019760
1967499,Orlando Fire Department Station 7,601 South Goldwyn Avenue,1840015099
1967500,Butte County Fire Department Station 64,22 Walnut Avenue,1840020182
1967523,Moreno Valley Fire Department Val Verde Station,27749 US Highway 64,1840022641
1967530,New Orleans Fire Department Engine 6,4500 Old Gentilly Road,1840001839
1967533,Los Angeles County Fire Department Station 148,4264 Martin Luther King Junior Boulevard,1840020492
1967536,Templeton Fire Department,117 South Main Street,1840009162
1967540,Ferdinand Rural City Fire Department,407 Main Street,1840019892
1967572,Grundy County Rural Fire Protection District Station 2,495 45th Street Northwest,1840010491
1967581,Old Ford Volunteer Fire Department,6050 US Highway 17 North,1840015401
1967582,Channahon Fire Protection District Station 2,23341 West McClintock Road,1840010214
1967587,Fairfield Fire Department Station 39,1957 Huntington Drive,1840020253
1967589,Willow City Rural Fire Protection District,154 Main Street,1840001854
1967604,Cassel Volunteer Fire Company 10,21635 Cassel Road,1840025534
1967609,Lindrith Volunteer Fire Department,1380 State Highway 595,1840082591
1967614,Wasatch County Fire Wallsburg City Station,130 East 300 South,1840022415
1967616,East Chicago Fire Department Station 1,3901 Indianapolis Boulevard,1840008193
1967632,Kansas City Missouri Fire Department Station 1,15480 Hanger Road,1840008535
1967633,Cape Girardeau Fire Department Station 3,1975 North Sprigg Street,1840007598
1967646,Cortez Fire Protection District Station 3,2300 North Dolores Road,1840018928
1967657,Georgetown Fellowship Volunteer Fire Department Station 2,14005 Lott Road,1840025981
1967680,Reno Fire Department Station 2,2500 Sutro Street,1840020121
1967681,Eden Valley Fire and Rescue Department,450 Smith Street,1840007806
1967696,Olean Fire Department Central Station,542 North Union Street,1840000452
1967706,Harvey Fire Department Station 4,16800 Lathrop Avenue,1840007029
1967708,Flint Hill Volunteer Fire Department,945 Fodderstack Road,1840026716
1967713,Forbes Rural Fire Department,4 Main Street,1840000252
1967714,Rolling Fork Fire Department,400 South Parkway Avenue,1840014860
1967722,Jamison Volunteer Fire Department,3791 Belleville Road,1840014812
1967729,Uintah Fire District / Lapoint Fire Department,9839 East 7000 North,1840037163
1967735,Striggersville Volunteer Fire Department Station 1,697 Caney Creek Road,1840017699
1967741,Habersham County Fire Department Station 13 - Habersham Mills,2665 Habersham Mills Road,1840014662
1967746,Potter Station Fire District 13,563 Polk County Road 50,1840015549
1967760,Bernalillo County Fire and Rescue Department Station 31,9819 2nd Street Northwest,1840019176
1967772,Skagit County Fire District 5 Allen,9061 Avon Allen Road,1840037749
1967780,Brockport Fire Department Station 4,237 South Main Street,1840004287
1967784,Vineland Fire Department Station Number 6,110 North 4th Street,1840001551
1967791,Linton Fire Department,100 East Pine Avenue,1840000208
1967802,Memphis Fire Station 49,4351 New Allen Road,1840015457
1967808,Naval Station Ingleside Fire Department,290 South Coral Sea Road,1840019709
1967812,Pasadena Volunteer Fire Department Station 7,1600 Crenshaw Road,1840020930
1967813,Riley County Fire District 1 Station 12,5175 Tuttle Cove Road,1840001589
1967814,White Castle Volunteer Fire Department,32535 Bowie Street,1840017193
1967815,Indianapolis Fire Department Station 18,42 North Warman Avenue,1840030084
1967826,Chase County Rural Fire Department Strong City Station,503 Elm Street,1840009806
1967843,Volga Fire Department,300 Lafayette Street,1840010076
1967855,Wichita Fire Department Station 9,350 South Edgemoor Street,1840001686
1967859,Rock River Volunteer Fire Department,321 Avenue D,1840021315
1967883,Sacramento Metropolitan Fire District Station 108,6701 Winding Way,1840017580
1967898,Unified Fire Department Fire Station 123 - Rosecrest,4850 West Mount Ogden Peak Drive,1840020155
1967900,Sacramento Metropolitan Fire District Station 22,6248 Chestnut Avenue,1840018842
1967907,Cornelius - Lemley Volunteer Fire and Rescue Station 1,19729 South Main Street,1840016352
1967926,Alston Volunteer Fire Department,West Broad Street and State Highway 135,1840015815
1967929,Pagosa Fire Protection District Station 3 - Highway 84,5508 US Highway 84,1840022565
1967934,California Department of Forestry and Fire Protection Glen Ellen Fire Station 46,14000 Sonoma Highway,1840017576
1967955,Holbrook Fire Station,355 Patchogue Holbrook Road,1840005079
1967956,Beaumont Fire and Rescue Station 4,1301 West Lucas Drive,1840019612
1967982,Georgia Mountain Volunteer Fire Department Station 2,Waterworks Road,1840006456
1968007,West Valley Fire - Rescue Station 52,9102 Ahtanum Road,1840021154
1968035,Lowndes County Fire and Rescue Station 9,2123 Westside Road,1840015894
1968042,Contra Costa County Fire Protection District Station 12,1240 Shell Avenue,1840020278
1968045,Moorefield Volunteer Fire Department,114 Kuykendall Lane,1840005904
1968047,Mount Juliet Fire Department Station 3,69 East Hill Drive,1840014465
1968052,Pierre Rural Volunteer Fire Department,1740 North Airport Road,1840000313
1968056,Nicholson Fire and Rescue Department - Station 2,9371 Old Commerce Road,1840014721
1968073,Charlotte Fire Department Station 6,249 South Laurel Avenue,1840014557
1968102,Guntersville Fire and Rescue Station 3,311 Buck Island Drive,1840006456
1968108,Walker Rural Fire Department,107 South 6th Street,1840010842
1968113,Nescopeck Volunteer Fire Company Station 159,325 Warren Street,1840000762
1968114,Freeport Volunteer Fire Department Station 70,400 Market Street,1840003518
1968146,Colerain Township Fire Department Station 102,11474 Colerain Avenue,1840003814
1968164,Amarillo Fire Department Station 1 Headquarters,400 South Van Buren Street,1840019156
1968187,Shenandoah Heights Fire Company District 36 Station 2,148 Swatara Road,1840035194
1968229,Pelham - Batesville Fire Department Station 2,1605 South State Highway 14,1840013502
1968237,Saxis Volunteer Fire Company,8337 Free School Road,1840006330
1968243,Stevens Point Fire Department Station 2,4401 Industrial Park Road,1840002320
1968254,Bloomfield Village Fire Department,3595 Bradway Boulevard,1840002439
1968279,Concord Fire Department Station 1 - Central Fire Station,150 North State Street,1840002747
1968290,Ogdensburg Fire Department,30 Main Street,1840000787
1968299,Annapolis Fire Department Company 36 Eastport,914 Bay Ridge Avenue,1840005928
1968301,Readstown Volunteer Fire Department,105 North Railroad Street,1840002697
1968333,Bellevue Fire Department - Station 1,211 West 22nd Avenue,1840007142
1968359,Lexington Fire Department Station 1 Headquarters,219 East Third Street,1840015211
1968363,El Campo Volunteer Fire Department,1011 West Loop,1840020966
1968390,Granby Fire Department,238 North Main Street,1840008792
1968395,Round Rock Fire Department Station 6,2919 Joe Dimaggio Boulevard,1840020879
1968411,Spring Mill Fire Company - Station 45,1210 East Hector Street,1840003697
1968434,Port Chester Fire Department Mellor Engine and Hose Company 3,51 Grace Church Street,1840004941
1968451,Brainerd Fire Department,23 Laurel Street,1840006644
1968470,Watkins Community Fire Department,140 Cedar Avenue South,1840009996
1968482,Rome - Floyd County Fire Department Station 1,617 West 1st Street,1840014681
1968489,Richland Volunteer Fire Department,Main Street and Sunset Avenue,1840022120
1968492,Midland Fire Department Station 4,5100 North Big Spring Street,1840020792
1968502,Biwabik Fire Department,105 North 3rd Avenue,1840006592
1968515,Melbourne Fire Department Station 71 and Headquarters,865 West Eau Gallie Boulevard,1840015960
1968558,North Fairfield Volunteer Fire Department,6 North Main Street,1840011710
1968568,Cliff - Gila Valley Volunteer Fire Department and Emergency Medical Services,621 State Highway 211,1840025067
1968593,Jonestown Fire Company Station 10,107 South King Street,1840001346
1968604,McBain Community Fire Department,110 West Euclid Avenue,1840002515
1968611,Blankenship Rural Fire Department,4520 Blankenship Road,1840018351
1968613,Moline Fire Department Station 4,1490 41st Street,1840008181
1968618,Pennsylvania State Fire Academy Station 28,1150 Riverside Drive,1840003592
1968620,Maben Volunteer Fire Department,685 Second Avenue,1840016843
1968627,Orange Township Fire Department Station 361,7700 Gooding Boulevard,1840007237
1968689,Brownsville Fire Department Station 1,1000 East Adams Street,1840019743
1968718,Richland Fire Department Station 1,566 Old Highway 49 South,1840014889
1968747,Hysham Volunteer Fire Department,306 Rapelje Avenue,1840021178
1968757,George Fire Department,207 East Boiler Avenue,1840007972
1968761,West Lafayette Fire Department Station 1,300 North Street,1840010430
1968774,Sumter Fire Department Graham Station 3,1501 Britton Road,1840015612
1968800,Sweetwater Fire Department Station 1,208 Monroe Street,1840015415
1968811,Broken Arrow Fire Department Central Station 1,120 West Kenosha Street,1840019059
1968830,Grand Island Fire Department Station 4,3690 West State Street,1840000956
1968834,Glenville Fire Department,221 West Main Street,1840007932
1968844,Lynnville Fire Department,301 South Street,1840009222
1968862,Coppell Fire Department Station 1,520 Southwestern Boulevard,1840019439
1968872,Corning Volunteer Fire Department,814 5th Street,1840018762
1968880,Route 377 Fire Department,7405 Cranston Road,1840014291
1968918,Colleton County Fire Department Station 2,150 Clinic Drive,1840026998
1968946,Laurel Fire Department Station 2,29022 Fire Tower Road,1840006078
1968953,Mist-Birkenfeld Rural Fire Protection District Station 3 Peterson,65551 Nehalem Highway North,1840021187
1968958,Walden Volunteer Fire Department Station 2 Colonel Bradley Hose Company 2,30 North Montgomery Street,1840004880
1968961,Upland Volunteer Fire Department,Prairie Avenue,1840012268
1968970,Holly Creek - Oak Hill Fire Department,5539 Old Broken Bow Highway,1840019259
1968972,Dexter Area Fire Department Station 3,5775 Webster Church Road,1840011193
1968986,Napa County Fire Department Station 24 - Spanish Flat,4454 Knoxville Road,1840020241
1968992,Blennerhassett Volunteer Fire Department,5711 Dupont Road,1840005785
1968997,Richardsville Volunteer Fire Department Station 2,1170 Mount Olive - Gerkin Road,1840013265
1969001,Elmira Fire Department Station 3,West Miller Street and Casey Street,1840000472
1969031,Seaside Park Volunteer Fire Department Station 45,1 Municipal Plaza,1840001488
1969034,Middletown Township Fire Department Station 3 Belford Engine Company 1,739 Main Street,1840005439
1969038,Grand Lake Fire Protection District Station 3-Soda Springs,10000 US Highway 34,1840021408
1969042,Hobart Fire Department Station 3,710 Colonial Drive,1840007093
1969052,Corinth Volunteer Fire Department,3354 County Road 43,1840016864
1969058,Brownstown Township Fire Department Station 4,25961 West Road,1840003973
1969062,Gilchrist County Fire Rescue,3250 North US Highway 129,1840015944
1969080,Ambrose Fire Department,63 3rd Avenue West,1840000033
1969092,Alton Fire Department,101 Pine Street,1840007655
1969097,Kirk Volunteer Fire Department,3259 County Road M,1840024320
1969109,Clinton Volunteer Fire Department Station 825,9025 Woodyard Road,1840005949
1969111,Veyo Fire Station - Northwestern Special Service Fire District,59 East Center Street,1840026840
1969117,Cambridge Fire Department Station 2,378 Massachusetts Avenue,1840000429
1969119,Riverside County Fire Department Station 93 La Quinta,44555 Adams Street,1840020559
1969121,Lockport Township Fire Protection District Station 2,1601 Root Street,1840007088
1969124,Roanoke Island Volunteer Fire Department Station 17 North Station,917 US Highway 64,1840016156
1969125,Gem County Fire District 1 Station 1,115 West 3rd Street,1840020000
1969133,Newaygo Fire Department,177 Cooperative Center Drive,1840002679
1969151,North Central Carroll Fire Protection District Bogard Fire Department,Brown Street,1840007334
1969153,Poca Volunteer Fire Department,2461 Charleston Road,1840006183
1969158,Vestavia Hills Fire Department Station 3,3201 Morgan Drive,1840015673
1969159,Sylvania Fire Department Station 1,14 Enterprise Street,1840016558
1969178,Santa Clara County Fire Department - Los Altos Station,10 Almond Avenue,1840020328
1969180,Covington Fire and Rescue,801 East Broadway,1840012374
1969186,Asheville Fire Department Station 8,904 Tunnel Road,1840013411
1969187,Mound City Volunteer Fire Department,104 1st Street,1840000260
1969191,Baltimore City Fire Station 5,2 Upland Road,1840001592
1969194,Douglas County Fire District 2 Station 5,6000 Garden Valley Road,1840020034
1969195,Puget Sound Regional Fire Authority Fire Station 75,15635 Southeast 272nd Street,1840018424
1969224,Phoenix Fire Department Station 32,7620 South 42nd Place,1840020568
1969238,Marquette Volunteer Fire Department,151 West Front Street,1840002592
1969245,Alachua County Fire Rescue Station 8,5715 Northeast US Highway 301,1840015059
1969265,Indianapolis Fire Department Station 15,3502 East Prospect Street,1840030084
1969285,Big Bend Fire Department,W230 S9185 Nevins Street,1840003015
1969305,Southwest Ranches Volunteer Fire Rescue,17220 Griffin Road,1840018328
1969322,Ingalls Fire Department,243 North Meridian Street,1840010457
1969358,North Jackson Fire Department Station 3,2589 Highway 60,1840016715
1969362,West Metro Fire Rescue Station 6,15100 West Sixth Avenue,1840020197
1969398,North Summit Fire District - Coalville,86 East Center Street,1840018723
1969408,West Babylon Volunteer Fire Department Station 2,1033 Herzel Boulevard,1840005109
1969409,Mason County Fire District 5 Station 3 Headquarters Mason - Benson,2520 East Mason Benson Road,1840037554
1969422,Anderson Fire Department Station 4,621 West Cross Street,1840007242
1969430,Appalachia Volunteer Fire Department,104 Powell Street,1840006480
1969441,Norfolk Fire-Rescue Fire Station 2,2501 Church Street,1840003869
1969463,Heavener Fire Department West Side Station,US Highway 270,1840020444
1969492,Suffolk Department of Fire and Rescue Station 7 Holland Volunteer Fire Department,6666 O'Kelly Drive,1840003873
1969494,Los Angeles County Fire Department - Station 104,26901 Golden Valley Road,1840021864
1969498,Naval Air Facility Key West Fire and Emergency Services Station 1,Saratoga Avenue and Midway Avenue,1840015161
1969499,Shiloh Volunteer Fire Department,2089 Huntly Road,1840015745
1969500,Hoover Fire Department Station 1,1953 Braddock Circle,1840014795
1969514,Midway Volunteer Fire Department,1673 County Road 14760,1840020594
1969519,North Port Fire Rescue District Station 81,4980 City Center Boulevard,1840015120
1969537,Wild Horse Mesa Volunteer Fire Department,18208 Wild Horse Drive,1840022549
1969543,Bellingham City Fire Department Station 6,4060 Deemer Road,1840018346
1969550,Plessis Fire District,26046 County Road 3,1840023986
1969554,Mallard Creek Volunteer Fire and Rescue,10702 Mallard Creek Road,1840014557
1969557,Valley Stream Volunteer Fire Department Emergency Relief Squad 1 Nassau Hose Company 1,49 Rockaway Parkway,1840005331
1969568,Modesto Fire Department Station 2,420 Chicago Avenue,1840020287
1969576,Connestee Fire Rescue Main Station,400 East Fork Road,1840013467
1969581,California Correctional Institution Fire Department Station 916,24900 State Highway 202,1840021737
1969588,Kulani Volunteer Fire Station 03A,4200 Stainback Highway,1840023193
1969599,Norlina Volunteer Fire Department,102 Center Street,1840016038
1969604,Omaha Fire Department - Station 22,6310 Lindbergh Plaza,1840009315
1969612,Bloomington Volunteer Fire Department Binnewater Station,48 Sawdust Avenue,1840000493
1969624,Mount Vera Volunteer Fire Department,76 County Road 867,1840016553
1969638,Holland Township Volunteer Fire Company,971 Milford Warren Glen Road,1840001041
1969645,Santa Clara - Ivins Fire and Rescue - Station 33,2875 Circle Drive,1840021560
1969651,Whitehouse Volunteer Fire Department Station 36,14759 State Highway 41 South,1840016538
1969675,South Burlington Fire Department Station 2,3 Holmes Road,1840002311
1969685,North Amityville Volunteer Fire Station 2,54 Commerce Boulevard,1840005053
1969689,Keystone Valley Fire Department - Central Station 8,329 West First Avenue,1840001432
1969733,Augusta Department Fire Station 13,2619 Lumpkin Road,1840029462
1969734,Lewis County Fire District 5 Station 3,4153 Jackson Highway,1840018472
1969742,Rosedale Volunteer Fire Department 2 Station 222,5806 Verona Road,1840001268
1969788,Atlantic Fire Engine and Truck Company 2,353 Broadway,1840003673
1969799,Banks County Fire and Emergency Services Fire Station 21,4173 Old Highway 441 North,1840015543
1969801,Bunnlevel Volunteer Fire Department,6825 US Highway 401,1840024949
1969814,Martins Creek Volunteer Fire Department,4037 Hedden Road,1840016437
1969817,Pleasant View Volunteer Fire Department Station 5,3752 Old Coopertown Road,1840015273
1969824,Fresno City Fire Department Station 8,1428 South Cedar Avenue,1840020319
1969826,Los Alamos County Fire Department Station 1,State Road 501,1840017779
1969828,Lancaster City Fire Department Station 2,453 Hubbard Drive,1840014630
1969832,Texas Township Fire Department,T4510 River Hills Road,1840002163
1969837,Los Angeles County Fire Department Station 4,2644 North San Gabriel Boulevard,1840020495
1969862,Southridge Fire Department Station 1,2358 State Highway 163,1840014507
1969881,North Sonoma Coast Fire Protection District - North Station,39250 State Highway 1,1840024621
1969908,Sumter Fire Department Manning Road Station,1121 Manning Road,1840015612
1969912,Vanleer Volunteer Fire Department,4455 State Highway 49,1840016105
1969937,Jasper Volunteer Fire Department Station 1,205 East Water Street,1840019560
1969961,Midwest City Fire Department Station 3,800 North Air Depot Boulevard,1840020425
1969962,Lore City Fire Department,162 Main Street,1840012353
1969991,Talbot County Fire Department Woodland Station,7690 Woodland Highway,1840015781
1970020,Melrose Fire Department Station 1 Headquarters,576 Main Street,1840000432
1970029,Saint Johns Fire Department Station 4,12 Sora Rail Road,1840017282
1970045,Pine - Strawberry Fire District Station 41,6198 West Hardscrabble Mesa Road,1840019262
1970052,Camas County - Fairfield Volunteer Fire District,119 Willow Avenue West,1840020044
1970069,Black Mountain Fire Department Station Four,106 Montreat Road,1840015392
1970102,Estacion de Bomberos de Salinas,Carretera 1 Km 89 Barrio Coquí,1630035570
1970105,Van Horn Volunteer Fire Department,401 La Caverna Street,1840023110
1970106,Iron City Volunteer Fire Department,484 Iron City Road,1840036055
1970108,Helper Volunteer Fire Department,97 South Main Street,1840020200
1970110,Coeur d'Alene Fire Department Station 1,320 East Foster Avenue,1840018402
1970122,Rock Island Volunteer Fire Department,3400 County Road 106 South,1840036321
1970129,Dallas Fire and Rescue Station 56,7040 Belt Line Road,1840019440
1970135,West Alexandria Fire Department,25 East Dayton Street,1840012498
1970193,Palmetto Rural Fire Department Station 2,1504 Ebeneezer Road,1840014693
1970197,Buhl Volunteer Fire Department and Ambulance Service,201 Forest Street,1840006587
1970204,Peralta Fire Department,3 McGee Lane,1840022815
1970223,Mechanicsburg Fire and EMS Department,18 North Main Street,1840012334
1970246,Lafourche Crossing 308 Volunteer Fire Department,691 State Highway 308,1840015946
1970260,Elm Grove Volunteer Fire Department,13600 Juneau Boulevard,1840003011
1970271,Jonathan Creek Volunteer Fire Department,87 Joe Carver Road,1840016297
1970280,Richland Volunteer Fire Department,10500 North 5th Street,1840021740
1970287,Ponderosa Volunteer Fire Department,4252 State Highway 290,1840019065
1970297,Tri - Community Volunteer Fire Department Station 1 - Collegedale,9755 Sanborn Drive,1840014570
1970301,Eugene Springfield Fire Station 4,1475 5th Street,1840021263
1970307,Eagan Fire Station Number 1,4200 Blackhawk Road,1840007852
1970308,Lewisville Fire Department Firehouse 8,3300 Lakewood Hills Drive,1840020639
1970313,Gallia County District Two Volunteer Fire Department,120 Mercerville Road,1840012774
1970328,Lakeland - Lanier Fire and Rescue,6 Park Drive,1840012921
1970333,Moose Pass Volunteer Fire Company,33657 Depot Road,1840023408
1970337,Corydon Civil Defense Fire and Rescue,330 Second Street,1840014335
1970343,Aiken Public Safety Fire Department Station 2,123 Silver Bluff Road,1840013722
1970353,Richfield Volunteer Fire Company Station 1,2008 State Highway 175,1840002835
1970365,Canebrake Fire Department Station 2,1199 McKelvey Road,1840013500
1970366,Polk County Fire Department Station 8,4210 Willis Road,1840015105
1970367,Malin Rural Fire Protection District,2307 3rd Street,1840020052
1970376,Frost Volunteer Fire Department,112 North Front Street,1840020779
1970378,Nocona Volunteer Fire Department,100 Cooke Street,1840020569
1970382,Sellersburg Fire Department Station 2,1000 Main Street,1840006208
1970393,Defense Supply Center Columbus Fire Department,401 North Yearling Road,1840003760
1970395,Scotts Valley Fire District Station 1,7 Erba Lane,1840021580
1970430,Jackson Trail Volunteer Fire Department,3345 Jackson Trail Road,1840014723
1970436,Seguin Fire / EMS Department Central Station,110 East Elm Street,1840022214
1970440,Southeast Volunteer Fire Department,10510 Scarsdale Boulevard,1840020925
1970495,Belt Volunteer Fire Department,11 Bridge Street,1840018431
1970510,Walnut Springs Volunteer Fire Department,112 4th Street,1840022124
1970530,Winfield Fire and Rescue,110 West Ash Street,1840010315
1970552,Mowrystown Fire Department and Emergency Medical Services,50 Maple Street,1840012696
1970576,Rhome Fire Rescue Department,261 School Road,1840020632
1970621,Chinook Volunteer Fire Department,1201 Illinois Street,1840018358
1970623,Bayou Sorrel Fire Department,33165 State Highway 75,1840015037
1970631,Pana Fire Department,400 East 1st Street,1840009548
1970632,Hebert Volunteer Fire Department,2895 State Highway 133,1840017022
1970667,Princeton Hook and Ladder Company,27 North Harrison Street,1840001381
1970671,Dibble Fire Department,12165 Firemans Road,1840021808
1970673,Eno Fire Department Station 2,5501 Saint Mary's Road,1840016151
1970674,Riverside County Fire Department Station 55 - Indian Wells,44900 El Dorado Drive,1840019303
1970699,Haring Township Fire Department,505 Bell Avenue,1840002512
1970717,Northfield Center Fire Department,60 West Aurora Road,1840000799
1970756,Hanover Township Volunteer Fire Department Station 68 - 2,2090 State Route 168,1840001023
1970759,Elmwood Park Fire Department Station 2,74 Parkview Avenue,1840003544
1970780,Corfu Fire Department,116 East Main Street,1840004369
1970808,Ashland Volunteer Fire Department,21 3rd Avenue South,1840006738
1970811,Greensboro Fire Department Station 20,8404 West Market Street,1840013356
1970817,San Francisco Fire Department Station 3,1067 Post Street,1840021543
1970848,Wesley Chapel Volunteer Fire Department Station 31,8821 Newtown Road,1840016458
1970851,Independent Fire Company 2 Station 16,609 Greenwood Avenue,1840003702
1970868,Grays Harbor Fire District 7 Station 1 Copalis Beach,701 Copalis Beach Road,1840017356
1970869,Live Oak Manor Volunteer Fire Department Station 73,160 Modern Farms Road,1840015937
1970870,Quincy Fire Protection District Station 2,49 Alta Avenue,1840017517
1970878,Beaufort - Leslie Fire Protection District Station 2,231 Main Street,1840012860
1970881,Montpelier - Harrison Township Volunteer Fire Department Station 2,South Main Street,1840008352
1970889,A and M Volunteer Fire Department,2788 Old Highway 431,1840005602
1970894,Tulsa Fire Department Station 31,3002 North Mingo Road,1840021672
1970903,Winooski Fire Department,120 Main Street,1840002312
1970924,Tulsa Fire Department Station 7,3005 East 15th Street,1840021672
1970938,Reed City Fire Department,523 Morse Street,1840002559
1970948,Rock Creek Township Fire Department,201 South Miller Street,1840008505
1970963,Miami Beach Fire Department Station 1,1051 Jefferson Avenue,1840015150
1970966,Chignik Lake Volunteer Fire Department,Washeteria Road,1840023691
1970967,Van Meter Volunteer Fire Rescue Department,505 Grant Street,1840010180
1970968,New Orleans Fire Department Engine 26 Ladder 9 and Car 505,436 South Jefferson Davis Parkway,1840001839
1970969,Odenville Fire and Rescue Station 3,40 Blair Farm Road,1840016774
1970999,Vintondale Volunteer Fire Company Station 45,291 Main Street,1840001127
1971000,Burntout - Halltown Volunteer Fire Department,75 State Highway 224,1840016625
1971007,Rock City / Rome Fire Department,653 Lebanon Highway,1840016096
1971016,Golden Gate Fire Station 72,3820 Beck Boulevard,1840015131
1971054,Cookeville Fire Department Station 4,1110 England Drive,1840014470
1971075,Jonesboro Fire Department Station 2,1413 West Nettleton Avenue,1840014507
1971077,Tinton Falls Fire Company 1,695 Tinton Avenue,1840001368
1971083,Clay County Fire Rescue Station 14 - Middleburg,4003 Everett Avenue,1840013998
1971133,Baker Rural Fire Protection District Pine Creek Lane,43705 Old Wingville Road,1840018587
1971137,Abingdon Fire Company House 2,3813 Washington Avenue,1840031252
1971141,Albertson Hook and Ladder Engine Hose Company 1,100 I U Willets Road,1840005227
1971161,Rochester Fire Department,277 East Second Street,1840002428
1971165,Mammoth Spring Fire Department,165 South 2nd Street,1840015291
1971177,Topsail Beach Fire Department,816 South Anderson Boulevard,1840016604
1971190,Elfinwild Volunteer Fire Company Station 261,2817 Mount Royal Boulevard,1840026474
1971201,Bruin Volunteer Fire Department Station 29,100 Firehouse Drive,1840000856
1971215,Arlington County Fire Department Station 4,3121 10th Street North,1840006112
1971217,Sedan Fire and Rescue,240 Marsh Street,1840008891
1971234,Verdunville Volunteer Fire Department,2270 Mud Fork Road,1840025706
1971259,New Hope Fire Department,1969 Highway 2,1840017162
1971262,Branciforte Fire Protection District,2711 Branciforte Drive,1840021579
1971267,Redmond Fire and Rescue Station 403 Airport,911 Southeast Salmon Avenue,1840020003
1971276,Hall County Fire Station 9,5040 Poplar Springs Road,1840013612
1971311,Savannah Fire Department Station 11 Savannah Mall Station,11844 Apache Avenue,1840015830
1971332,Oak Grove Heights Fire Department,85 Kimberly Drive,1840014474
1971350,Morgan County Fire Rescue Station 15 - Bethany / Porter Road,1230 Porter Road,1840015677
1971361,Sodus Point Fire Department,8364 Bay Street,1840004296
1971368,Whispering Meadows Volunteer Fire Department,60 Road 6,1840014342
1971369,Charlotte Fire Department Station 31,3820 Ridge Road,1840014557
1971391,Pasquotank - Providence Volunteer Fire Department,1995 North Road Street,1840013315
1971392,Lacey Fire District 3 Station 34,8447 Steilacoom Road Southeast,1840019865
1971399,Morning Star Fire Department,5327 State Highway 27,1840015352
1971427,Oakland - Promise Land Volunteer Fire Department Station 1,6081 Oakland Road,1840001731
1971432,Park County Fire Protection District 2 Station 4 Wapiti Valley,North Fork Highway and Jim Mountain Drive,1840018595
1971439,Thomas County Fire Department Station 6 - Barnetts Creek,1264 Stewart Road,1840015893
1971441,Eastern Plumas Rural Fire Protection District Station 1,141 Delleker Drive,1840020177
1971459,Houston Fire Department Station 12,1502 Alber Street,1840020925
1971485,Port Gibson Fire Department and Ambulance,2972 Greig Street,1840025456
1971487,Merced County Fire Department Station 73 Los Banos,31011 West Gonzaga Road,1840076205
1971489,Goldfield Fire Department,Euclid Avenue and Elliot Avenue,1840024689
1971503,De Soto Rural Fire Protection District Station 4,3200 Flucom Road,1840007509
1971513,South Kitsap Fire and Rescue Station 12 Olalla,8696 Olalla Valley Road Southeast,1840019821
1971516,Osage Valley Fire Protection District Station 2,Duran Creek Avenue,1840010795
1971527,Sayre Fire Department Engine Company 1,110 West Packer Avenue,1840000517
1971531,Beaver Valley Fire Department,911 West Beaver Flat Road,1840022857
1971533,Amargosa Valley Fire Department,1756 Clark Road,1840033803
1971542,Gibson Township Little York Volunteer Fire Department,481 North State Highway 39,1840009792
1971549,Glynn County Fire Department Station 8,147 Public Safety Boulevard,1840013875
1971554,Long Beach Fire Department Station 3,1222 Daisy Avenue,1840020490
1971559,Adwolfe Volunteer Fire Department,104 Thomas Bridge Road,1840006515
1971566,Rockfish Valley Volunteer Fire and Rescue Department,11100 Rockfish Valley Highway,1840118783
1971590,Auburn Fire Protection District - Auburn Emergency Squad,1308 West Jefferson Street,1840007301
1971599,Anchorage Fire Department Station 15,11301 Southport Drive,1840023385
1971602,League City Volunteer Fire Department Station 4,175 North Bay Area Boulevard,1840020973
